content_type,pageviews,pageview_share_pct,visits,visitors,viewed_paths,engaged_visits_raw,engaged_rate_raw_pct,pageviews_per_viewed_path,first_5d_pageviews,last_5d_pageviews,momentum_pct,adjusted_9d_pageviews,adjusted_9d_engaged_visits,adjusted_engaged_rate_pct
catalog,78217,68.40,23288,18268,2409,5786,7.40,32.5,36392,41825,14.9,70807,4018,5.67
codes,14852,12.99,12198,10915,989,677,4.56,15.0,7203,7649,6.2,13102,350,2.67
wiki,12079,10.56,7582,6774,771,2793,23.12,15.7,6222,5857,-5.9,10868,2389,21.98
stats,2997,2.62,2008,1781,715,527,17.58,4.2,1726,1271,-26.4,2365,196,8.29
home,2464,2.15,1864,1727,1,72,2.92,2464.0,1159,1305,12.6,2221,63,2.84
article,1532,1.34,1401,1268,165,203,13.25,9.3,801,731,-8.7,1333,91,6.83
tool,840,0.73,622,598,11,22,2.62,76.4,400,440,10.0,744,20,2.69
event,441,0.39,357,342,19,32,7.26,23.2,192,249,29.7,401,23,5.74
checklist,380,0.33,253,243,15,14,3.68,25.3,153,227,48.4,355,9,2.54
other,336,0.29,269,260,118,76,22.62,2.8,203,133,-34.5,226,9,3.98
quiz,214,0.19,124,122,12,20,9.35,17.8,103,111,7.8,192,12,6.25
